title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Pitch Perfect,2012,Comedy,112,Jason Moore,Anna Kendrick,115.35,65.0,7.1,6.9,7.5,6.9,7.3,7.1,7.0,296345,122055,94771,125,65641,111720,23604,7.3,6.9,48624,105822
Lo imposible,2012,Adventure,114,J.A. Bayona,Naomi Watts,198.09,19.02,7.6,7.5,7.9,7.8,7.8,7.5,7.4,216952,126468,42721,97,34076,98009,27246,7.6,7.5,22127,104528
Prometheus,2012,Adventure,124,Ridley Scott,Noomi Rapace,403.35,126.48,7.0,7.0,6.7,6.8,7.0,7.0,6.9,593758,409704,63005,88,76991,289466,82088,7.1,6.9,84370,273058
The Perks of Being a Wallflower,2012,Drama,103,Stephen Chbosky,Logan Lerman,33.38,17.74,7.9,7.9,8.0,8.2,8.1,7.9,7.7,492504,239685,124403,247,119670,191520,30729,8.0,7.9,57728,202393
21 Jump Street,2012,Action,109,Phil Lord,Jonah Hill,201.59,138.45,7.2,7.2,7.3,7.8,7.5,7.1,6.6,540689,328928,82353,154,119130,229144,36496,7.3,7.0,77552,218887
Silver Linings Playbook,2012,Comedy,122,David O. Russell,Bradley Cooper,236.41,132.09,7.7,7.7,7.6,7.5,7.8,7.7,7.6,692913,385330,147602,124,129485,305749,63826,7.9,7.6,91924,293055
Skyfall,2012,Action,143,Sam Mendes,Daniel Craig,1108.57,304.36,7.8,7.7,7.7,8.3,7.9,7.7,7.6,679299,446253,73367,213,113952,295733,77293,7.9,7.6,85365,295527
Les Misérables,2012,Drama,158,Tom Hooper,Hugh Jackman,442.3,148.81,7.6,7.4,7.8,7.5,7.8,7.5,7.3,322916,164603,83639,111,66414,133101,32396,7.5,7.4,48721,130952
Moonrise Kingdom,2012,Comedy,94,Wes Anderson,Jared Gilman,68.26,45.51,7.8,7.8,7.8,8.2,8.0,7.7,7.5,340226,198795,63365,125,57375,156769,36511,7.9,7.7,56790,148651
The Master,2012,Drama,138,Paul Thomas Anderson,Philip Seymour Hoffman,28.26,16.38,7.2,7.2,6.8,8.2,7.7,7.1,6.6,168137,111859,17606,87,26158,75671,22217,7.3,7.0,29791,75399
