title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Bohemian Rhapsody,2018,Biography,134,Bryan Singer,Rami Malek,910.81,216.43,7.9,7.8,8.4,7.6,7.9,7.9,8.0,506722,246371,83249,445,85051,164310,56130,7.8,7.9,50089,181132
Den of Thieves,2018,Action,140,Christian Gudegast,Gerard Butler,80.51,44.95,7.0,7.0,6.9,7.1,7.0,6.9,6.9,105749,69078,7155,29,12438,42560,15090,7.0,6.9,12752,43912
Ant-Man and the Wasp,2018,Action,118,Peyton Reed,Paul Rudd,622.67,216.65,7.0,7.0,7.3,7.0,7.1,7.0,7.1,368357,198322,33288,544,62691,117376,31494,7.2,6.9,42704,123319
Operation Finale,2018,Biography,122,Chris Weitz,Oscar Isaac,17.61,17.61,6.6,6.6,6.8,6.4,6.6,6.5,6.7,40239,25236,3771,16,4511,15145,7483,6.7,6.5,4969,17297
Suspiria,2018,Drama,152,Luca Guadagnino,Chloë Grace Moretz,7.94,2.47,6.8,6.7,6.6,7.0,7.2,6.7,6.1,72199,39614,9178,56,12241,26064,7783,6.7,6.6,9616,28324
Red Sparrow,2018,Action,140,Francis Lawrence,Jennifer Lawrence,151.57,46.87,6.6,6.6,6.7,6.1,6.7,6.5,6.6,180582,100675,27652,38,26008,67877,24141,6.5,6.6,18244,75662
The Meg,2018,Action,113,Jon Turteltaub,Jason Statham,530.44,143.01,5.6,5.6,5.8,5.7,5.7,5.5,5.7,164928,94016,18355,157,23421,59182,21323,5.8,5.5,20151,62913
Fifty Shades Freed,2018,Drama,105,James Foley,Dakota Johnson,371.99,100.41,4.5,4.0,5.3,3.9,4.7,4.4,4.4,62673,23163,17799,58,13010,19850,4827,4.6,4.4,6222,22471
The Ballad of Buster Scruggs,2018,Comedy,133,Ethan Coen,Tim Blake Nelson,NA,NA,7.3,7.3,7.2,7.6,7.4,7.2,7.2,139148,85059,10817,72,22818,49502,17358,7.4,7.2,17253,56465
Bird Box,2018,Horror,124,Susanne Bier,Sandra Bullock,NA,NA,6.6,6.5,6.9,6.3,6.6,6.6,6.6,318857,157226,48364,329,54464,107667,29276,6.6,6.5,33747,112381
Vice,2018,Biography,132,Adam McKay,Christian Bale,76.07,47.84,7.2,7.2,7.2,6.4,7.2,7.2,7.1,139237,83044,13472,71,22452,51422,16829,7.0,7.2,18828,55577
The Favourite,2018,Biography,119,Yorgos Lanthimos,Olivia Colman,95.92,34.37,7.5,7.5,7.5,7.8,7.8,7.5,7.3,191575,95946,34725,124,33106,67483,22597,7.6,7.5,21687,78184
Avengers: Endgame,2019,Action,181,Anthony Russo,Robert Downey Jr.,2797.5,858.37,8.4,8.3,8.5,8.5,8.6,8.3,8.1,1014199,466991,84363,2040,174155,258861,68685,8.5,8.2,95173,266356
Once Upon a Time in... Hollywood,2019,Comedy,161,Quentin Tarantino,Leonardo DiCaprio,374.57,142.5,7.6,7.6,7.4,8.0,7.8,7.5,7.4,670784,337828,66392,587,107910,202185,64988,7.8,7.5,68050,219592
The Gentlemen,2019,Action,113,Guy Ritchie,Matthew McConaughey,115.17,36.47,7.8,7.8,7.8,7.8,8.0,7.7,7.6,303857,162506,28095,205,46493,100859,28790,7.7,7.7,23232,113575
Knives Out,2019,Comedy,130,Rian Johnson,Daniel Craig,311.61,165.36,7.9,7.9,7.8,8.3,8.1,7.8,7.7,572878,271132,67014,601,89817,169484,52828,8.0,7.8,64072,179346
Midsommar,2019,Drama,148,Ari Aster,Florence Pugh,47.97,27.33,7.1,7.1,7.0,7.5,7.3,7.0,6.7,276214,132118,33893,274,48022,84401,22564,7.2,7.0,33003,89153
Joker,2019,Crime,122,Todd Phillips,Joaquin Phoenix,1074.42,335.45,8.4,8.4,8.4,8.5,8.5,8.3,8.1,1145033,538653,109261,1420,195323,317768,79047,8.1,8.3,94532,336036
Spider-Man: Far from Home,2019,Action,129,Jon Watts,Tom Holland,1131.93,390.53,7.4,7.3,7.6,7.6,7.5,7.3,7.3,443787,218943,36495,951,78307,125079,31139,7.6,7.3,44293,135935
Countdown,2019,Horror,90,Justin Dec,Elizabeth Lail,48.02,25.62,5.4,5.3,5.6,4.7,5.3,5.3,5.6,34383,17508,4691,46,5636,11388,3739,5.4,5.3,3500,13177
The Lighthouse,2019,Drama,109,Robert Eggers,Robert Pattinson,18.12,0.43,7.5,7.4,7.0,8.3,7.8,7.2,6.7,188777,101023,15331,246,35028,57024,16357,7.4,7.3,22407,65244
Star Wars: Episode IX - The Rise of Skywalker,2019,Action,141,J.J. Abrams,Daisy Ridley,1074.15,515.2,6.5,6.5,7.1,5.8,6.3,6.5,6.9,420756,232671,32546,504,58558,135421,48458,6.7,6.4,52228,136650
The Dirt,2019,Biography,107,Jeff Tremaine,Douglas Booth,NA,NA,7.0,6.9,7.2,7.1,7.0,6.9,7.0,46198,25913,5690,23,6038,16200,7244,6.9,6.9,6427,16561
Jumanji: The Next Level,2019,Action,123,Jake Kasdan,Dwayne Johnson,800.06,316.83,6.7,6.6,7.0,6.9,6.7,6.6,6.7,231666,117260,32984,345,31557,82144,26377,6.8,6.5,27146,87054
Men in Black: International,2019,Action,114,F. Gary Gray,Chris Hemsworth,253.89,80.0,5.6,5.6,6.0,5.3,5.7,5.6,5.7,127836,71122,14615,147,17318,46302,16022,5.7,5.6,13473,49412
1917,2019,Action,119,Sam Mendes,Dean-Charles Chapman,384.92,159.23,8.3,8.2,8.3,8.4,8.4,8.2,8.1,532056,276000,42752,653,87374,157425,49115,8.3,8.2,48618,178414
Little Women,2019,Drama,135,Greta Gerwig,Saoirse Ronan,216.6,108.1,7.8,7.6,7.9,7.9,8.0,7.6,7.5,184273,68553,40031,248,33969,51569,16076,7.9,7.6,20289,60069
After,2019,Drama,105,Jenny Gage,Josephine Langford,69.52,12.14,5.3,4.9,5.7,4.9,5.3,5.3,5.4,50474,9874,14629,172,11354,9959,2394,5.4,5.2,3885,12639
Uncut Gems,2019,Crime,135,Benny Safdie,Adam Sandler,50.02,50.02,7.4,7.4,6.8,8.0,7.7,7.3,6.9,258602,146238,18302,232,45004,85899,21797,7.5,7.3,31370,89760
Captain Marvel,2019,Action,123,Anna Boden,Brie Larson,1128.46,426.83,6.8,6.8,7.4,6.3,6.8,6.8,7.0,520316,265419,52532,984,86124,158058,45214,7.0,6.8,59054,159138
The King,2019,Biography,140,David Michôd,Tom Glynn-Carney,0.13,NA,7.3,7.2,7.2,7.1,7.3,7.2,7.3,116959,60489,13148,107,19641,37375,11208,7.3,7.2,10526,43057
Cold Pursuit,2019,Action,119,Hans Petter Moland,Liam Neeson,76.42,32.14,6.2,6.2,6.2,6.4,6.3,6.1,6.3,66209,42327,4996,22,6599,25038,12714,6.3,6.1,8098,28545
Jojo Rabbit,2019,Comedy,108,Taika Waititi,Roman Griffin Davis,90.34,0.35,7.9,7.8,8.1,8.1,8.0,7.8,7.7,358538,179845,43164,407,62548,112632,31486,8.0,7.8,36396,125263
The Irishman,2019,Biography,209,Martin Scorsese,Robert De Niro,0.97,7.0,7.8,7.8,7.4,8.2,8.1,7.7,7.6,365051,206952,26275,307,57174,119652,39109,7.8,7.7,37902,131036
Downton Abbey,2019,Drama,122,Michael Engler,Stephen Campbell Moore,237.86,96.85,7.4,7.2,7.7,7.0,7.4,7.3,7.5,50451,19608,13614,20,4490,15406,11230,7.7,7.2,7947,17460
Shazam!,2019,Action,132,David F. Sandberg,Zachary Levi,365.97,140.37,7.0,7.0,7.2,7.3,7.1,6.9,6.9,309579,167995,26201,459,53332,98906,25969,7.2,6.9,33913,102796
Hustlers,2019,Comedy,110,Lorene Scafaria,Constance Wu,157.56,104.96,6.3,6.2,6.5,6.2,6.6,6.3,5.9,94876,44145,19229,62,14649,33439,11437,6.4,6.2,13717,33714
Murder Mystery,2019,Action,97,Kyle Newacheck,Adam Sandler,NA,NA,6.0,5.9,6.2,5.9,6.1,6.0,5.9,119036,58607,19703,135,18841,42428,12277,6.1,5.9,12649,44812
Polar,2019,Action,118,Jonas Åkerlund,Mads Mikkelsen,NA,NA,6.3,6.3,6.2,5.3,6.2,6.3,6.4,85577,53079,6868,34,10309,31796,13181,6.4,6.2,8595,35156
Yesterday,2019,Comedy,116,Danny Boyle,Himesh Patel,154.61,73.29,6.8,6.8,6.9,6.5,6.6,6.7,7.1,145787,77233,20069,147,19398,48090,23581,7.0,6.7,17558,55827
Doctor Sleep,2019,Drama,152,Mike Flanagan,Ewan McGregor,72.38,31.58,7.3,7.3,7.3,7.5,7.4,7.3,7.2,178089,96786,20591,139,24962,62997,21026,7.5,7.2,22680,63497
The Lion King,2019,Animation,118,Jon Favreau,Donald Glover,1662.9,543.64,6.8,6.8,7.3,6.2,6.8,6.8,6.9,233919,113757,32628,328,41720,78324,15758,6.6,6.8,24740,77661
